id; datetime
10;27.01.2020 14:07:14
11;27.01.2020 14:07:14
12;27.01.2020 14:07:14
10;27.01.2020 14:07:14
11;27.01.2020 14:07:14
12;27.01.2020 14:07:14
10;27.01.2020 14:08:53
10;27.01.2020 14:09:12
10;27.01.2020 14:36:17
11;27.01.2020 14:41:11
11;27.01.2020 14:41:19
10;27.01.2020 14:44:10
10;27.01.2020 14:44:17
10;27.01.2020 14:46:16
10;27.01.2020 16:05:21
12;27.01.2020 16:39:17
12;27.01.2020 16:39:22
12;27.01.2020 16:39:29
12;27.01.2020 16:39:32
11;27.01.2020 16:42:44
12;27.01.2020 16:46:57
12;27.01.2020 16:47:00
12;27.01.2020 17:11:15
10;27.01.2020 17:12:22
10;27.01.2020 17:31:12
10;27.01.2020 18:17:28
10;27.01.2020 18:17:35
10;27.01.2020 18:17:40
10;27.01.2020 18:17:46
10;27.01.2020 18:17:50
10;27.01.2020 18:18:49
10;27.01.2020 18:18:53
10;27.01.2020 18:19:15
10;27.01.2020 18:19:27
10;27.01.2020 18:20:46
11;27.01.2020 18:21:23
12;27.01.2020 18:21:26
12;27.01.2020 18:23:09
12;27.01.2020 18:23:47
12;27.01.2020 18:23:53
12;27.01.2020 18:23:57
12;27.01.2020 18:24:04
12;27.01.2020 18:24:05
12;27.01.2020 18:24:27
12;27.01.2020 18:24:34
12;27.01.2020 18:25:44
12;27.01.2020 18:26:02
12;27.01.2020 18:26:34
12;27.01.2020 18:26:39
12;27.01.2020 18:26:44
12;27.01.2020 18:26:49
12;27.01.2020 18:27:00
12;27.01.2020 18:27:05
12;27.01.2020 18:27:10
12;27.01.2020 18:27:18
12;27.01.2020 18:27:23
12;27.01.2020 18:28:10
12;27.01.2020 18:28:18
12;27.01.2020 18:28:22
12;27.01.2020 18:28:25
12;27.01.2020 18:28:33
12;27.01.2020 18:28:35
12;27.01.2020 18:28:37
12;27.01.2020 18:28:38
12;27.01.2020 18:28:47
12;27.01.2020 18:28:57
12;27.01.2020 18:29:05
12;27.01.2020 18:29:10
12;27.01.2020 18:29:17
12;27.01.2020 18:29:42
12;27.01.2020 18:29:46
12;27.01.2020 18:30:42
12;27.01.2020 18:31:00
12;27.01.2020 18:31:08
12;27.01.2020 18:31:12
12;27.01.2020 18:31:20
12;27.01.2020 18:32:03
12;27.01.2020 18:32:25
12;27.01.2020 18:32:45
12;27.01.2020 18:32:49
12;27.01.2020 18:33:09
12;27.01.2020 18:33:10
12;27.01.2020 18:33:33
12;27.01.2020 18:34:06
12;27.01.2020 18:34:13
12;27.01.2020 18:34:18
12;27.01.2020 18:34:25
12;27.01.2020 18:34:40
12;27.01.2020 18:34:42
12;27.01.2020 18:34:45
12;27.01.2020 18:35:28
12;27.01.2020 18:35:37
12;27.01.2020 18:36:46
12;27.01.2020 18:36:48
12;27.01.2020 18:36:51
12;27.01.2020 18:36:59
12;27.01.2020 18:37:22
12;27.01.2020 18:38:46
12;27.01.2020 18:40:02
12;27.01.2020 18:40:05
